字詞名,注音一式
平心靜氣,ㄆㄧㄥˊ　ㄒㄧㄣ　ㄐㄧㄥˋ　ㄑㄧˋ
平起平坐,ㄆㄧㄥˊ　ㄑㄧˇ　ㄆㄧㄥˊ　ㄗㄨㄛˋ
平均數,ㄆㄧㄥˊ　ㄐㄩㄣ　ㄕㄨˋ
平均地權,ㄆㄧㄥˊ　ㄐㄩㄣ　ㄉㄧˋ　ㄑㄩㄢˊ
平假名,ㄆㄧㄥˊ　ㄐㄧㄚˇ　ㄇㄧㄥˊ
平交道,ㄆㄧㄥˊ　ㄐㄧㄠ　ㄉㄠˋ
平衡木,ㄆㄧㄥˊ　ㄏㄥˊ　ㄇㄨˋ
平地風波,ㄆㄧㄥˊ　ㄉㄧˋ　ㄈㄥ　ㄅㄛ
平等互惠,ㄆㄧㄥˊ　ㄉㄥˇ　ㄏㄨˋ　ㄏㄨㄟˋ
平方公里,ㄆㄧㄥˊ　ㄈㄤ　ㄍㄨㄥ　ㄌㄧˇ
平分秋色,ㄆㄧㄥˊ　ㄈㄣ　ㄑㄧㄡ　ㄙㄜˋ
平鋪直敘,ㄆㄧㄥˊ　ㄆㄨ　ㄓˊ　ㄒㄩˋ
平步青雲,ㄆㄧㄥˊ　ㄅㄨˋ　ㄑㄧㄥ　ㄩㄣˊ
平白無故,ㄆㄧㄥˊ　ㄅㄞˊ　ㄨˊ　ㄍㄨˋ
乒乓球,ㄆㄧㄥ　ㄆㄤ　ㄑㄧㄡˊ
牝雞司晨,ㄆㄧㄣˋ　ㄐㄧ　ㄙ　ㄔㄣˊ
品學兼優,ㄆㄧㄣˇ　ㄒㄩㄝˊ　ㄐㄧㄢ　ㄧㄡ
品頭論足,ㄆㄧㄣˇ　ㄊㄡˊ　ㄌㄨㄣˋ　ㄗㄨˊ
貧嘴薄舌,ㄆㄧㄣˊ　ㄗㄨㄟˇ　ㄅㄛˊ　ㄕㄜˊ
貧富不均,ㄆㄧㄣˊ　ㄈㄨˋ　ㄅㄨˋ　ㄐㄩㄣ
貧病交迫,ㄆㄧㄣˊ　ㄅㄧㄥˋ　ㄐㄧㄠ　ㄆㄛˋ
拼音文字,ㄆㄧㄣ　ㄧㄣ　ㄨㄣˊ　ㄗˋ
片紙隻字,ㄆㄧㄢˋ　ㄓˇ　ㄓ　ㄗˋ
片甲不留,ㄆㄧㄢˋ　ㄐㄧㄚˇ　ㄅㄨˋ　ㄌㄧㄡˊ
片面之詞,ㄆㄧㄢˋ　ㄇㄧㄢˋ　ㄓ　ㄘˊ
駢體文,ㄆㄧㄢˊ　ㄊㄧˇ　ㄨㄣˊ
胼手胝足,ㄆㄧㄢˊ　ㄕㄡˇ　ㄓ　ㄗㄨˊ
偏光鏡,ㄆㄧㄢ　ㄍㄨㄤ　ㄐㄧㄥˋ
偏頭痛,ㄆㄧㄢ　ㄊㄡˊ　ㄊㄨㄥˋ
漂白粉,ㄆㄧㄠˇ　ㄅㄞˊ　ㄈㄣˇ
飄洋過海,ㄆㄧㄠ　ㄧㄤˊ　ㄍㄨㄛˋ　ㄏㄞˇ
飄忽不定,ㄆㄧㄠ　ㄏㄨ　ㄅㄨˋ　ㄉㄧㄥˋ　（變）ㄆㄧㄠ　ㄏㄨ　ㄅㄨˊ　ㄉㄧㄥˋ
飄飄欲仙,ㄆㄧㄠ　ㄆㄧㄠ　ㄩˋ　ㄒㄧㄢ
飄飄然,ㄆㄧㄠ　ㄆㄧㄠ　ㄖㄢˊ
否極泰來,ㄆㄧˇ　ㄐㄧˊ　ㄊㄞˋ　ㄌㄞˊ
匹夫之勇,ㄆㄧˇ　ㄈㄨ　ㄓ　ㄩㄥˇ
匹夫匹婦,ㄆㄧˇ　ㄈㄨ　ㄆㄧˇ　ㄈㄨˋ
疲於奔命,ㄆㄧˊ　ㄩˊ　ㄅㄣ　ㄇㄧㄥˋ
疲勞轟炸,ㄆㄧˊ　ㄌㄠˊ　ㄏㄨㄥ　ㄓㄚˋ
皮影戲,ㄆㄧˊ　ㄧㄥˇ　ㄒㄧˋ
皮製品,ㄆㄧˊ　ㄓˋ　ㄆㄧㄣˇ
皮笑肉不笑,ㄆㄧˊ　ㄒㄧㄠˋ　ㄖㄡˋ　ㄅㄨˋ　ㄒㄧㄠˋ　（變）ㄆㄧˊ　ㄒㄧㄠˋ　ㄖㄡˋ　ㄅㄨˊ　ㄒㄧㄠˋ
皮下注射,ㄆㄧˊ　ㄒㄧㄚˋ　ㄓㄨˋ　ㄕㄜˋ
皮開肉綻,ㄆㄧˊ　ㄎㄞ　ㄖㄡˋ　ㄓㄢˋ
皮膚病,ㄆㄧˊ　ㄈㄨ　ㄅㄧㄥˋ
皮包骨,ㄆㄧˊ　ㄅㄠ　ㄍㄨˇ
琵琶別抱,ㄆㄧˊ　ㄆㄚˊ　ㄅㄧㄝˊ　ㄅㄠˋ
蚍蜉撼樹,ㄆㄧˊ　ㄈㄨˊ　ㄏㄢˋ　ㄕㄨˋ
披沙揀金,ㄆㄧ　ㄕㄚ　ㄐㄧㄢˇ　ㄐㄧㄣ
披星戴月,ㄆㄧ　ㄒㄧㄥ　ㄉㄞˋ　ㄩㄝˋ
披荊斬棘,ㄆㄧ　ㄐㄧㄥ　ㄓㄢˇ　ㄐㄧˊ
披掛上陣,ㄆㄧ　ㄍㄨㄚˋ　ㄕㄤˋ　ㄓㄣˋ
披頭散髮,ㄆㄧ　ㄊㄡˊ　ㄙㄢˋ　ㄈㄚˇ
披麻帶孝,ㄆㄧ　ㄇㄚˊ　ㄉㄞˋ　ㄒㄧㄠˋ
批發商,ㄆㄧ　ㄈㄚ　ㄕㄤ
批發價,ㄆㄧ　ㄈㄚ　ㄐㄧㄚˋ
碰運氣,ㄆㄥˋ　ㄩㄣˋ　˙ㄑㄧ
碰釘子,ㄆㄥˋ　ㄉㄧㄥ　˙ㄗ
捧腹大笑,ㄆㄥˇ　ㄈㄨˋ　ㄉㄚˋ　ㄒㄧㄠˋ
澎湖群島,ㄆㄥˊ　ㄏㄨˊ　ㄑㄩㄣˊ　ㄉㄠˇ
蓬萊仙島,ㄆㄥˊ　ㄌㄞˊ　ㄒㄧㄢ　ㄉㄠˇ
蓬頭垢面,ㄆㄥˊ　ㄊㄡˊ　ㄍㄡˋ　ㄇㄧㄢˋ
蓬蓽生輝,ㄆㄥˊ　ㄅㄧˋ　ㄕㄥ　ㄏㄨㄟ
鵬程萬里,ㄆㄥˊ　ㄔㄥˊ　ㄨㄢˋ　ㄌㄧˇ
朋分花用,ㄆㄥˊ　ㄈㄣ　ㄏㄨㄚ　ㄩㄥˋ
朋比為奸,ㄆㄥˊ　ㄅㄧˋ　ㄨㄟˊ　ㄐㄧㄢ
怦然心動,ㄆㄥ　ㄖㄢˊ　ㄒㄧㄣ　ㄉㄨㄥˋ
胖嘟嘟,ㄆㄤˋ　ㄉㄨ　ㄉㄨ
胖大海,ㄆㄤˋ　ㄉㄚˋ　ㄏㄞˇ
龐然大物,ㄆㄤˊ　ㄖㄢˊ　ㄉㄚˋ　ㄨˋ
篣婦公,ㄆㄤˊ　ㄈㄨˋ　ㄍㄨㄥ
旁若無人,ㄆㄤˊ　ㄖㄨㄛˋ　ㄨˊ　ㄖㄣˊ
