字詞名,注音一式
彈道飛彈,ㄉㄢˋ　ㄉㄠˋ　ㄈㄟ　ㄉㄢˋ
彈盡援絕,ㄉㄢˋ　ㄐㄧㄣˋ　ㄩㄢˊ　ㄐㄩㄝˊ
彈丸之地,ㄉㄢˋ　ㄨㄢˊ　ㄓ　ㄉㄧˋ
擔擔麵,ㄉㄢˋ　ㄉㄢˋ　ㄇㄧㄢˋ
擔仔麵,ㄉㄢˋ　ㄗˇ　ㄇㄧㄢˋ
當頭棒喝,ㄉㄤ　ㄊㄡˊ　ㄅㄤˋ　ㄏㄜˋ
當機立斷,ㄉㄤ　ㄐㄧ　ㄌㄧˋ　ㄉㄨㄢˋ
當家花旦,ㄉㄤ　ㄐㄧㄚ　ㄏㄨㄚ　ㄉㄢˋ
當家小生,ㄉㄤ　ㄐㄧㄚ　ㄒㄧㄠˇ　ㄕㄥ
當局者迷,ㄉㄤ　ㄐㄩˊ　ㄓㄜˇ　ㄇㄧˊ
當之無愧,ㄉㄤ　ㄓ　ㄨˊ　ㄎㄨㄟˋ
當事者,ㄉㄤ　ㄕˋ　ㄓㄜˇ
當事人,ㄉㄤ　ㄕˋ　ㄖㄣˊ
當仁不讓,ㄉㄤ　ㄖㄣˊ　ㄅㄨˋ　ㄖㄤˋ　（變）ㄉㄤ　ㄖㄣˊ　ㄅㄨˊ　ㄖㄤˋ
當務之急,ㄉㄤ　ㄨˋ　ㄓ　ㄐㄧˊ
擋不住,ㄉㄤˇ　ㄅㄨˋ　ㄓㄨˋ　（變）ㄉㄤˇ　ㄅㄨˊ　ㄓㄨˋ
擋風玻璃,ㄉㄤˇ　ㄈㄥ　ㄅㄛ　ㄌㄧˊ
擋土牆,ㄉㄤˇ　ㄊㄨˇ　ㄑㄧㄤˊ
擋箭牌,ㄉㄤˇ　ㄐㄧㄢˋ　ㄆㄞˊ
檔案夾,ㄉㄤˇ　ㄢˋ　ㄐㄧㄚˊ
檔案傳輸系統,ㄉㄤˇ　ㄢˋ　ㄔㄨㄢˊ　ㄕㄨ　ㄒㄧˋ　ㄊㄨㄥˇ
檔案室,ㄉㄤˇ　ㄢˋ　ㄕˋ
檔案搜尋系統,ㄉㄤˇ　ㄢˋ　ㄙㄡ　ㄒㄩㄣˊ　ㄒㄧˋ　ㄊㄨㄥˇ
黨政軍,ㄉㄤˇ　ㄓㄥˋ　ㄐㄩㄣ
蕩氣迴腸,ㄉㄤˋ　ㄑㄧˋ　ㄏㄨㄟˊ　ㄔㄤˊ
蕩然無存,ㄉㄤˋ　ㄖㄢˊ　ㄨˊ　ㄘㄨㄣˊ
登門拜訪,ㄉㄥ　ㄇㄣˊ　ㄅㄞˋ　ㄈㄤˇ
登門造訪,ㄉㄥ　ㄇㄣˊ　ㄗㄠˋ　ㄈㄤˇ
登峰造極,ㄉㄥ　ㄈㄥ　ㄗㄠˋ　ㄐㄧˊ
登堂入室,ㄉㄥ　ㄊㄤˊ　ㄖㄨˋ　ㄕˋ
登徒子,ㄉㄥ　ㄊㄨˊ　ㄗˇ
登革熱,ㄉㄥ　ㄍㄜˊ　ㄖㄜˋ
登高一呼,ㄉㄥ　ㄍㄠ　ㄧ　ㄏㄨ　（變）ㄉㄥ　ㄍㄠ　ㄧˋ　ㄏㄨ
登高望遠,ㄉㄥ　ㄍㄠ　ㄨㄤˋ　ㄩㄢˇ
登機證,ㄉㄥ　ㄐㄧ　ㄓㄥˋ
登機室,ㄉㄥ　ㄐㄧ　ㄕˋ
登山隊,ㄉㄥ　ㄕㄢ　ㄉㄨㄟˋ
登山口,ㄉㄥ　ㄕㄢ　ㄎㄡˇ
燈火管制,ㄉㄥ　ㄏㄨㄛˇ　ㄍㄨㄢˇ　ㄓˋ
等不及,ㄉㄥˇ　ㄅㄨˋ　ㄐㄧˊ
等量齊觀,ㄉㄥˇ　ㄌㄧㄤˋ　ㄑㄧˊ　ㄍㄨㄢ
等高線,ㄉㄥˇ　ㄍㄠ　ㄒㄧㄢˋ
等閒視之,ㄉㄥˇ　ㄒㄧㄢˊ　ㄕˋ　ㄓ
等而下之,ㄉㄥˇ　ㄦˊ　ㄒㄧㄚˋ　ㄓ
等一會兒,ㄉㄥˇ　ㄧ　ㄏㄨㄟˇㄦ　（變）ㄉㄥˇ　ㄧˋ　ㄏㄨㄜˇㄦ
等一下,ㄉㄥˇ　ㄧ　ㄒㄧㄚˋ　（變）ㄉㄥˇ　ㄧˊ　ㄒㄧㄚˋ
等壓線,ㄉㄥˇ　ㄧㄚ　ㄒㄧㄢˋ
低標準,ㄉㄧ　ㄅㄧㄠ　ㄓㄨㄣˇ
低迷不振,ㄉㄧ　ㄇㄧˊ　ㄅㄨˋ　ㄓㄣˋ　（變）ㄉㄧ　ㄇㄧˊ　ㄅㄨˊ　ㄓㄣˋ
低等動物,ㄉㄧ　ㄉㄥˇ　ㄉㄨㄥˋ　ㄨˋ
低鈉鹽,ㄉㄧ　ㄋㄚˋ　ㄧㄢˊ
低年級,ㄉㄧ　ㄋㄧㄢˊ　ㄐㄧˊ
低利率,ㄉㄧ　ㄌㄧˋ　ㄌㄩˋ
低氣壓,ㄉㄧ　ㄑㄧˋ　ㄧㄚ
低血糖,ㄉㄧ　ㄒㄧㄝˇ　ㄊㄤˊ
低收入,ㄉㄧ　ㄕㄡ　ㄖㄨˋ
低收入戶,ㄉㄧ　ㄕㄡ　ㄖㄨˋ　ㄏㄨˋ
低聲下氣,ㄉㄧ　ㄕㄥ　ㄒㄧㄚˋ　ㄑㄧˋ
低姿態,ㄉㄧ　ㄗ　ㄊㄞˋ
低姿勢,ㄉㄧ　ㄗ　ㄕˋ
低速檔,ㄉㄧ　ㄙㄨˋ　ㄉㄤˇ
低壓帶,ㄉㄧ　ㄧㄚ　ㄉㄞˋ
滴粉搓酥,ㄉㄧ　ㄈㄣˇ　ㄘㄨㄛ　ㄙㄨ
滴滴答答,ㄉㄧ　ㄉㄧ　ㄉㄚ　ㄉㄚ
滴酒不沾,ㄉㄧ　ㄐㄧㄡˇ　ㄅㄨˋ　ㄓㄢ
滴水不沾,ㄉㄧ　ㄕㄨㄟˇ　ㄅㄨˋ　ㄓㄢ
滴水漏斗,ㄉㄧ　ㄕㄨㄟˇ　ㄌㄡˋ　ㄉㄡˇ
滴水穿石,ㄉㄧ　ㄕㄨㄟˇ　ㄔㄨㄢ　ㄕˊ
滴水未沾,ㄉㄧ　ㄕㄨㄟˇ　ㄨㄟˋ　ㄓㄢ
狄斯耐樂園,ㄉㄧˊ　ㄙ　ㄋㄞˋ　ㄌㄜˋ　ㄩㄢˊ
狄斯耐卡通,ㄉㄧˊ　ㄙ　ㄋㄞˋ　ㄎㄚˇ　ㄊㄨㄥ
迪斯可,ㄉㄧˊ　ㄙ　ㄎㄜˇ
嫡長子,ㄉㄧˊ　ㄓㄤˇ　ㄗˇ
嫡傳弟子,ㄉㄧˊ　ㄔㄨㄢˊ　ㄉㄧˋ　ㄗˇ
敵愾同仇,ㄉㄧˊ　ㄎㄞˋ　ㄊㄨㄥˊ　ㄔㄡˊ
底線抽球,ㄉㄧˇ　ㄒㄧㄢˋ　ㄔㄡ　ㄑㄧㄡˊ
抵不過,ㄉㄧˇ　ㄅㄨˋ　ㄍㄨㄛˋ　（變）ㄉㄧˇ　ㄅㄨˊ　ㄍㄨㄛˋ
抵抗力,ㄉㄧˇ　ㄎㄤˋ　ㄌㄧˋ
抵押品,ㄉㄧˇ　ㄧㄚ　ㄆㄧㄣˇ
抵押放款,ㄉㄧˇ　ㄧㄚ　ㄈㄤˋ　ㄎㄨㄢˇ
抵押權,ㄉㄧˇ　ㄧㄚ　ㄑㄩㄢˊ
地板操,ㄉㄧˋ　ㄅㄢˇ　ㄘㄠ
地盤下陷,ㄉㄧˋ　ㄆㄢˊ　ㄒㄧㄚˋ　ㄒㄧㄢˋ
地平線,ㄉㄧˋ　ㄆㄧㄥˊ　ㄒㄧㄢˋ
地方法院,ㄉㄧˋ　ㄈㄤ　ㄈㄚˇ　ㄩㄢˋ
地方官,ㄉㄧˋ　ㄈㄤ　ㄍㄨㄢ
地方戲,ㄉㄧˋ　ㄈㄤ　ㄒㄧˋ
地方戲曲,ㄉㄧˋ　ㄈㄤ　ㄒㄧˋ　ㄑㄩˇ
地方政府,ㄉㄧˋ　ㄈㄤ　ㄓㄥˋ　ㄈㄨˇ
地方稅,ㄉㄧˋ　ㄈㄤ　ㄕㄨㄟˋ
地方人士,ㄉㄧˋ　ㄈㄤ　ㄖㄣˊ　ㄕˋ
地方自治,ㄉㄧˋ　ㄈㄤ　ㄗˋ　ㄓˋ
地方議會,ㄉㄧˋ　ㄈㄤ　ㄧˋ　ㄏㄨㄟˋ
地大物博,ㄉㄧˋ　ㄉㄚˋ　ㄨˋ　ㄅㄛˊ
地動儀,ㄉㄧˋ　ㄉㄨㄥˋ　ㄧˊ
地頭蛇,ㄉㄧˋ　ㄊㄡˊ　ㄕㄜˊ
地攤貨,ㄉㄧˋ　ㄊㄢ　ㄏㄨㄛˋ
地毯式,ㄉㄧˋ　ㄊㄢˇ　ㄕˋ
地牛發威,ㄉㄧˋ　ㄋㄧㄡˊ　ㄈㄚ　ㄨㄟ
地牛翻身,ㄉㄧˋ　ㄋㄧㄡˊ　ㄈㄢ　ㄕㄣ
地老天荒,ㄉㄧˋ　ㄌㄠˇ　ㄊㄧㄢ　ㄏㄨㄤ
地理環境,ㄉㄧˋ　ㄌㄧˇ　ㄏㄨㄢˊ　ㄐㄧㄥˋ
地理師,ㄉㄧˋ　ㄌㄧˇ　ㄕ
地理位置,ㄉㄧˋ　ㄌㄧˇ　ㄨㄟˋ　ㄓˋ
地利之便,ㄉㄧˋ　ㄌㄧˋ　ㄓ　ㄅㄧㄢˋ
地靈人傑,ㄉㄧˋ　ㄌㄧㄥˊ　ㄖㄣˊ　ㄐㄧㄝˊ
地廣人稀,ㄉㄧˋ　ㄍㄨㄤˇ　ㄖㄣˊ　ㄒㄧ
地瘠人稀,ㄉㄧˋ　ㄐㄧˊ　ㄖㄣˊ　ㄒㄧ
地籍圖,ㄉㄧˋ　ㄐㄧˊ　ㄊㄨˊ
地價稅,ㄉㄧˋ　ㄐㄧㄚˋ　ㄕㄨㄟˋ
地久天長,ㄉㄧˋ　ㄐㄧㄡˇ　ㄊㄧㄢ　ㄔㄤˊ
地球科學,ㄉㄧˋ　ㄑㄧㄡˊ　ㄎㄜ　ㄒㄩㄝˊ
地球史,ㄉㄧˋ　ㄑㄧㄡˊ　ㄕˇ
地球日,ㄉㄧˋ　ㄑㄧㄡˊ　ㄖˋ
地球村,ㄉㄧˋ　ㄑㄧㄡˊ　ㄘㄨㄣ
地球儀,ㄉㄧˋ　ㄑㄧㄡˊ　ㄧˊ
地下夫人,ㄉㄧˋ　ㄒㄧㄚˋ　ㄈㄨ　ㄖㄣˊ
地下道,ㄉㄧˋ　ㄒㄧㄚˋ　ㄉㄠˋ
地下投資,ㄉㄧˋ　ㄒㄧㄚˋ　ㄊㄡˊ　ㄗ
地下鐵,ㄉㄧˋ　ㄒㄧㄚˋ　ㄊㄧㄝˇ
地下停車場,ㄉㄧˋ　ㄒㄧㄚˋ　ㄊㄧㄥˊ　ㄔㄜ　ㄔㄤˇ
地下工廠,ㄉㄧˋ　ㄒㄧㄚˋ　ㄍㄨㄥ　ㄔㄤˇ
地下核爆,ㄉㄧˋ　ㄒㄧㄚˋ　ㄏㄜˊ　ㄅㄠˋ
地下化,ㄉㄧˋ　ㄒㄧㄚˋ　ㄏㄨㄚˋ
地下街,ㄉㄧˋ　ㄒㄧㄚˋ　ㄐㄧㄝ
地下錢莊,ㄉㄧˋ　ㄒㄧㄚˋ　ㄑㄧㄢˊ　ㄓㄨㄤ
地下室,ㄉㄧˋ　ㄒㄧㄚˋ　ㄕˋ
地下水,ㄉㄧˋ　ㄒㄧㄚˋ　ㄕㄨㄟˇ
地下有知,ㄉㄧˋ　ㄒㄧㄚˋ　ㄧㄡˇ　ㄓ
地下舞廳,ㄉㄧˋ　ㄒㄧㄚˋ　ㄨˇ　ㄊㄧㄥ
地心引力,ㄉㄧˋ　ㄒㄧㄣ　ㄧㄣˇ　ㄌㄧˋ
地質活動,ㄉㄧˋ　ㄓˊ　ㄏㄨㄛˊ　ㄉㄨㄥˋ
地質學,ㄉㄧˋ　ㄓˊ　ㄒㄩㄝˊ
地震帶,ㄉㄧˋ　ㄓㄣˋ　ㄉㄞˋ
地震儀,ㄉㄧˋ　ㄓㄣˋ　ㄧˊ
地主國,ㄉㄧˋ　ㄓㄨˇ　ㄍㄨㄛˊ
地主之誼,ㄉㄧˋ　ㄓㄨˇ　ㄓ　ㄧˋ
地中海,ㄉㄧˋ　ㄓㄨㄥ　ㄏㄞˇ
地中海型貧血,ㄉㄧˋ　ㄓㄨㄥ　ㄏㄞˇ　ㄒㄧㄥˊ　ㄆㄧㄣˊ　ㄒㄧㄝˇ
地上權,ㄉㄧˋ　ㄕㄤˋ　ㄑㄩㄢˊ
地上物,ㄉㄧˋ　ㄕㄤˋ　ㄨˋ
地藏王菩薩,ㄉㄧˋ　ㄗㄤˋ　ㄨㄤˊ　ㄆㄨˊ　ㄙㄚˋ
地層下陷,ㄉㄧˋ　ㄘㄥˊ　ㄒㄧㄚˋ　ㄒㄧㄢˋ
地域觀念,ㄉㄧˋ　ㄩˋ　ㄍㄨㄢ　ㄋㄧㄢˋ
地域性,ㄉㄧˋ　ㄩˋ　ㄒㄧㄥˋ
第八藝術,ㄉㄧˋ　ㄅㄚ　ㄧˋ　ㄕㄨˋ
第六感,ㄉㄧˋ　ㄌㄧㄡˋ　ㄍㄢˇ
第九藝術,ㄉㄧˋ　ㄐㄧㄡˇ　ㄧˋ　ㄕㄨˋ
第四臺,ㄉㄧˋ　ㄙˋ　ㄊㄞˊ
第三地,ㄉㄧˋ　ㄙㄢ　ㄉㄧˋ
第三類接觸,ㄉㄧˋ　ㄙㄢ　ㄌㄟˋ　ㄐㄧㄝ　ㄔㄨˋ
第三者,ㄉㄧˋ　ㄙㄢ　ㄓㄜˇ
第三世界,ㄉㄧˋ　ㄙㄢ　ㄕˋ　ㄐㄧㄝˋ
第二代無線電話,ㄉㄧˋ　ㄦˋ　ㄉㄞˋ　ㄨˊ　ㄒㄧㄢˋ　ㄉㄧㄢˋ　ㄏㄨㄚˋ
第二職業,ㄉㄧˋ　ㄦˋ　ㄓˊ　ㄧㄝˋ
第二春,ㄉㄧˋ　ㄦˋ　ㄔㄨㄣ
第二次世界大戰,ㄉㄧˋ　ㄦˋ　ㄘˋ　ㄕˋ　ㄐㄧㄝˋ　ㄉㄚˋ　ㄓㄢˋ
第一把交椅,ㄉㄧˋ　ㄧ　ㄅㄚˇ　ㄐㄧㄠ　ㄧˇ
第一把手,ㄉㄧˋ　ㄧ　ㄅㄚˇ　ㄕㄡˇ
第一波,ㄉㄧˋ　ㄧ　ㄅㄛ
第一步,ㄉㄧˋ　ㄧ　ㄅㄨˋ
第一名,ㄉㄧˋ　ㄧ　ㄇㄧㄥˊ
第一夫人,ㄉㄧˋ　ㄧ　ㄈㄨ　ㄖㄣˊ
第一類接觸,ㄉㄧˋ　ㄧ　ㄌㄟˋ　ㄐㄧㄝ　ㄔㄨˋ
第一流,ㄉㄧˋ　ㄧ　ㄌㄧㄡˊ
第一現場,ㄉㄧˋ　ㄧ　ㄒㄧㄢˋ　ㄔㄤˇ
第一線,ㄉㄧˋ　ㄧ　ㄒㄧㄢˋ
第一手,ㄉㄧˋ　ㄧ　ㄕㄡˇ
第一順位,ㄉㄧˋ　ㄧ　ㄕㄨㄣˋ　ㄨㄟˋ
第一人,ㄉㄧˋ　ㄧ　ㄖㄣˊ
第一人稱,ㄉㄧˋ　ㄧ　ㄖㄣˊ　ㄔㄥ
第一次世界大戰,ㄉㄧˋ　ㄧ　ㄘˋ　ㄕˋ　ㄐㄧㄝˋ　ㄉㄚˋ　ㄓㄢˋ
第一眼,ㄉㄧˋ　ㄧ　ㄧㄢˇ
帝國大廈,ㄉㄧˋ　ㄍㄨㄛˊ　ㄉㄚˋ　ㄒㄧㄚˋ
帝國主義,ㄉㄧˋ　ㄍㄨㄛˊ　ㄓㄨˇ　ㄧˋ
帝王條款,ㄉㄧˋ　ㄨㄤˊ　ㄊㄧㄠˊ　ㄎㄨㄢˇ
締約國,ㄉㄧˋ　ㄩㄝ　ㄍㄨㄛˊ
跌破眼鏡,ㄉㄧㄝˊ　ㄆㄛˋ　ㄧㄢˇ　ㄐㄧㄥˋ
跌打損傷,ㄉㄧㄝˊ　ㄉㄚˇ　ㄙㄨㄣˇ　ㄕㄤ
跌跌撞撞,ㄉㄧㄝˊ　ㄉㄧㄝˊ　ㄓㄨㄤˋ　ㄓㄨㄤˋ
跌停板,ㄉㄧㄝˊ　ㄊㄧㄥˊ　ㄅㄢˇ
跌至谷底,ㄉㄧㄝˊ　ㄓˋ　ㄍㄨˇ　ㄉㄧˇ
喋喋不休,ㄉㄧㄝˊ　ㄉㄧㄝˊ　ㄅㄨˋ　ㄒㄧㄡ
碟型天線,ㄉㄧㄝˊ　ㄒㄧㄥˊ　ㄊㄧㄢ　ㄒㄧㄢˋ
碟式相機,ㄉㄧㄝˊ　ㄕˋ　ㄒㄧㄤˋ　ㄐㄧ
碟式煞車,ㄉㄧㄝˊ　ㄕˋ　ㄕㄚ　ㄔㄜ
碟影機,ㄉㄧㄝˊ　ㄧㄥˇ　ㄐㄧ
諜報人員,ㄉㄧㄝˊ　ㄅㄠˋ　ㄖㄣˊ　ㄩㄢˊ
疊羅漢,ㄉㄧㄝˊ　ㄌㄨㄛˊ　ㄏㄢˋ
疊床架屋,ㄉㄧㄝˊ　ㄔㄨㄤˊ　ㄐㄧㄚˋ　ㄨ
刁鑽古怪,ㄉㄧㄠ　ㄗㄨㄢ　ㄍㄨˇ　ㄍㄨㄞˋ
雕梁畫棟,ㄉㄧㄠ　ㄌㄧㄤˊ　ㄏㄨㄚˋ　ㄉㄨㄥˋ
雕刻家,ㄉㄧㄠ　ㄎㄜˋ　ㄐㄧㄚ
雕刻匠,ㄉㄧㄠ　ㄎㄜˋ　ㄐㄧㄤˋ
雕蟲小技,ㄉㄧㄠ　ㄔㄨㄥˊ　ㄒㄧㄠˇ　ㄐㄧˋ
雕塑家,ㄉㄧㄠ　ㄙㄨˋ　ㄐㄧㄚ
弔膀子,ㄉㄧㄠˋ　ㄅㄤˋ　˙ㄗ
弔民伐罪,ㄉㄧㄠˋ　ㄇㄧㄣˊ　ㄈㄚ　ㄗㄨㄟˋ
吊鋼絲,ㄉㄧㄠˋ　ㄍㄤ　ㄙ
吊車尾,ㄉㄧㄠˋ　ㄔㄜ　ㄨㄟˇ
吊嗓子,ㄉㄧㄠˋ　ㄙㄤˇ　˙ㄗ
吊衣架,ㄉㄧㄠˋ　ㄧ　ㄐㄧㄚˋ
掉書袋,ㄉㄧㄠˋ　ㄕㄨ　ㄉㄞˋ
掉以輕心,ㄉㄧㄠˋ　ㄧˇ　ㄑㄧㄥ　ㄒㄧㄣ
釣蝦場,ㄉㄧㄠˋ　ㄒㄧㄚ　ㄔㄤˇ
釣魚臺,ㄉㄧㄠˋ　ㄩˊ　ㄊㄞˊ
釣魚竿,ㄉㄧㄠˋ　ㄩˊ　ㄍㄢ
調撥車道,ㄉㄧㄠˋ　ㄅㄛ　ㄔㄜ　ㄉㄠˋ
調兵遣將,ㄉㄧㄠˋ　ㄅㄧㄥ　ㄑㄧㄢˇ　ㄐㄧㄤˋ
調度室,ㄉㄧㄠˋ　ㄉㄨˋ　ㄕˋ
調頭寸,ㄉㄧㄠˋ　ㄊㄡˊ　ㄘㄨㄣˋ
調虎離山,ㄉㄧㄠˋ　ㄏㄨˇ　ㄌㄧˊ　ㄕㄢ
調查表,ㄉㄧㄠˋ　ㄔㄚˊ　ㄅㄧㄠˇ
調查員,ㄉㄧㄠˋ　ㄔㄚˊ　ㄩㄢˊ
調車場,ㄉㄧㄠˋ　ㄔㄜ　ㄔㄤˇ
丟不掉,ㄉㄧㄡ　ㄅㄨˋ　ㄉㄧㄠˋ　（變）ㄉㄧㄡ　ㄅㄨˊ　ㄉㄧㄠˋ
丟人現眼,ㄉㄧㄡ　ㄖㄣˊ　ㄒㄧㄢˋ　ㄧㄢˇ
丟三落四,ㄉㄧㄡ　ㄙㄢ　ㄌㄚˋ　ㄙˋ
顛沛流離,ㄉㄧㄢ　ㄆㄟˋ　ㄌㄧㄡˊ　ㄌㄧˊ
顛撲不破,ㄉㄧㄢ　ㄆㄨ　ㄅㄨˋ　ㄆㄛˋ　（變）ㄉㄧㄢ　ㄆㄨ　ㄅㄨˊ　ㄆㄛˋ
顛倒是非,ㄉㄧㄢ　ㄉㄠˇ　ㄕˋ　ㄈㄟ
顛顛倒倒,ㄉㄧㄢ　ㄉㄧㄢ　ㄉㄠˇ　ㄉㄠˇ
顛三倒四,ㄉㄧㄢ　ㄙㄢ　ㄉㄠˇ　ㄙˋ
典範長存,ㄉㄧㄢˇ　ㄈㄢˋ　ㄔㄤˊ　ㄘㄨㄣˊ
典章制度,ㄉㄧㄢˇ　ㄓㄤ　ㄓˋ　ㄉㄨˋ
典藏本,ㄉㄧㄢˇ　ㄘㄤˊ　ㄅㄣˇ
典獄長,ㄉㄧㄢˇ　ㄩˋ　ㄓㄤˇ
點到為止,ㄉㄧㄢˇ　ㄉㄠˋ　ㄨㄟˊ　ㄓˇ
點頭之交,ㄉㄧㄢˇ　ㄊㄡˊ　ㄓ　ㄐㄧㄠ
點鐵成金,ㄉㄧㄢˇ　ㄊㄧㄝˇ　ㄔㄥˊ　ㄐㄧㄣ
點土成金,ㄉㄧㄢˇ　ㄊㄨˇ　ㄔㄥˊ　ㄐㄧㄣ
點將錄,ㄉㄧㄢˇ　ㄐㄧㄤˋ　ㄌㄨˋ
點召令,ㄉㄧㄢˇ　ㄓㄠˋ　ㄌㄧㄥˋ
點石成金,ㄉㄧㄢˇ　ㄕˊ　ㄔㄥˊ　ㄐㄧㄣ
店頭市場,ㄉㄧㄢˋ　ㄊㄡˊ　ㄕˋ　ㄔㄤˇ
店小二,ㄉㄧㄢˋ　ㄒㄧㄠˇ　ㄦˋ
電冰箱,ㄉㄧㄢˋ　ㄅㄧㄥ　ㄒㄧㄤ
電風扇,ㄉㄧㄢˋ　ㄈㄥ　ㄕㄢˋ
電燈泡,ㄉㄧㄢˋ　ㄉㄥ　ㄆㄠˋ
電動機,ㄉㄧㄢˋ　ㄉㄨㄥˋ　ㄐㄧ
電動車,ㄉㄧㄢˋ　ㄉㄨㄥˋ　ㄔㄜ
電動玩具,ㄉㄧㄢˋ　ㄉㄨㄥˋ　ㄨㄢˊ　ㄐㄩˋ
電腦筆記本,ㄉㄧㄢˋ　ㄋㄠˇ　ㄅㄧˇ　ㄐㄧˋ　ㄅㄣˇ
電腦病毒,ㄉㄧㄢˋ　ㄋㄠˇ　ㄅㄧㄥˋ　ㄉㄨˊ
電腦排版,ㄉㄧㄢˋ　ㄋㄠˇ　ㄆㄞˊ　ㄅㄢˇ
電腦輔助教學,ㄉㄧㄢˋ　ㄋㄠˇ　ㄈㄨˇ　ㄓㄨˋ　ㄐㄧㄠˋ　ㄒㄩㄝˊ
電腦斷層攝影,ㄉㄧㄢˋ　ㄋㄠˇ　ㄉㄨㄢˋ　ㄘㄥˊ　ㄕㄜˋ　ㄧㄥˇ
電腦看板,ㄉㄧㄢˋ　ㄋㄠˇ　ㄎㄢˋ　ㄅㄢˇ
電腦合成樂,ㄉㄧㄢˋ　ㄋㄠˇ　ㄏㄜˊ　ㄔㄥˊ　ㄩㄝˋ
電腦化,ㄉㄧㄢˋ　ㄋㄠˇ　ㄏㄨㄚˋ
電腦程式,ㄉㄧㄢˋ　ㄋㄠˇ　ㄔㄥˊ　ㄕˋ
電腦鼠,ㄉㄧㄢˋ　ㄋㄠˇ　ㄕㄨˇ
電腦軟體,ㄉㄧㄢˋ　ㄋㄠˇ　ㄖㄨㄢˇ　ㄊㄧˇ
電腦擇友,ㄉㄧㄢˋ　ㄋㄠˇ　ㄗㄜˊ　ㄧㄡˇ
電腦辭典,ㄉㄧㄢˋ　ㄋㄠˇ　ㄘˊ　ㄉㄧㄢˇ
電腦音樂,ㄉㄧㄢˋ　ㄋㄠˇ　ㄧㄣ　ㄩㄝˋ
電腦網路,ㄉㄧㄢˋ　ㄋㄠˇ　ㄨㄤˇ　ㄌㄨˋ
電腦語音處理,ㄉㄧㄢˋ　ㄋㄠˇ　ㄩˇ　ㄧㄣ　ㄔㄨˇ　ㄌㄧˇ
電暖器,ㄉㄧㄢˋ　ㄋㄨㄢˇ　ㄑㄧˋ
電纜車,ㄉㄧㄢˋ　ㄌㄢˇ　ㄔㄜ
電聯車,ㄉㄧㄢˋ　ㄌㄧㄢˊ　ㄔㄜ
電路板,ㄉㄧㄢˋ　ㄌㄨˋ　ㄅㄢˇ
電光石火,ㄉㄧㄢˋ　ㄍㄨㄤ　ㄕˊ　ㄏㄨㄛˇ
電化設備,ㄉㄧㄢˋ　ㄏㄨㄚˋ　ㄕㄜˋ　ㄅㄟˋ
電話本,ㄉㄧㄢˋ　ㄏㄨㄚˋ　ㄅㄣˇ
電話簿,ㄉㄧㄢˋ　ㄏㄨㄚˋ　ㄅㄨˋ
電話費,ㄉㄧㄢˋ　ㄏㄨㄚˋ　ㄈㄟˋ
電話訪問,ㄉㄧㄢˋ　ㄏㄨㄚˋ　ㄈㄤˇ　ㄨㄣˋ
電話答錄機,ㄉㄧㄢˋ　ㄏㄨㄚˋ　ㄉㄚˊ　ㄌㄨˋ　ㄐㄧ
電話亭,ㄉㄧㄢˋ　ㄏㄨㄚˋ　ㄊㄧㄥˊ
電話筒,ㄉㄧㄢˋ　ㄏㄨㄚˋ　ㄊㄨㄥˇ
電話卡,ㄉㄧㄢˋ　ㄏㄨㄚˋ　ㄎㄚˇ
電話號碼,ㄉㄧㄢˋ　ㄏㄨㄚˋ　ㄏㄠˋ　ㄇㄚˇ
電話機,ㄉㄧㄢˋ　ㄏㄨㄚˋ　ㄐㄧ
電話線,ㄉㄧㄢˋ　ㄏㄨㄚˋ　ㄒㄧㄢˋ
電話傳真,ㄉㄧㄢˋ　ㄏㄨㄚˋ　ㄔㄨㄢˊ　ㄓㄣ
電吉他,ㄉㄧㄢˋ　ㄐㄧˊ　ㄊㄚ
電擊法,ㄉㄧㄢˋ　ㄐㄧˊ　ㄈㄚˇ
電解質,ㄉㄧㄢˋ　ㄐㄧㄝˇ　ㄓˊ
電檢法,ㄉㄧㄢˋ　ㄐㄧㄢˇ　ㄈㄚˇ
電檢制,ㄉㄧㄢˋ　ㄐㄧㄢˇ　ㄓˋ
電晶體,ㄉㄧㄢˋ　ㄐㄧㄥ　ㄊㄧˇ
電氣化,ㄉㄧㄢˋ　ㄑㄧˋ　ㄏㄨㄚˋ
電線桿,ㄉㄧㄢˋ　ㄒㄧㄢˋ　ㄍㄢˇ
電線走火,ㄉㄧㄢˋ　ㄒㄧㄢˋ　ㄗㄡˇ　ㄏㄨㄛˇ
電信局,ㄉㄧㄢˋ　ㄒㄧㄣˋ　ㄐㄩˊ
電唱機,ㄉㄧㄢˋ　ㄔㄤˋ　ㄐㄧ
電傳視訊,ㄉㄧㄢˋ　ㄔㄨㄢˊ　ㄕˋ　ㄒㄩㄣˋ
電視臺,ㄉㄧㄢˋ　ㄕˋ　ㄊㄞˊ
電視歌仔戲,ㄉㄧㄢˋ　ㄕˋ　ㄍㄜ　ㄗˇ　ㄒㄧˋ
電視機,ㄉㄧㄢˋ　ㄕˋ　ㄐㄧ
電視節目,ㄉㄧㄢˋ　ㄕˋ　ㄐㄧㄝˊ　ㄇㄨˋ
電視劇,ㄉㄧㄢˋ　ㄕˋ　ㄐㄩˋ
