茉莉,ㄇㄛˋ　ㄌㄧˋ　（變）ㄇㄛˋ　˙ㄌㄧ
妺,ㄇㄛˋ
抹,(二)ㄇㄛˋ
末座,ㄇㄛˋ　ㄗㄨㄛˋ
沫,ㄇㄛˋ
末日,ㄇㄛˋ　ㄖˋ
末梢,ㄇㄛˋ　ㄕㄠ
末世,ㄇㄛˋ　ㄕˋ
末學,ㄇㄛˋ　ㄒㄩㄝˊ
末期,ㄇㄛˋ　ㄑㄧˊ
末路,ㄇㄛˋ　ㄌㄨˋ
末流,ㄇㄛˋ　ㄌㄧㄡˊ
末了,ㄇㄛˋ　ㄌㄧㄠˇ
末端,ㄇㄛˋ　ㄉㄨㄢ
末年,ㄇㄛˋ　ㄋㄧㄢˊ
末代,ㄇㄛˋ　ㄉㄞˋ
万俟,ㄇㄛˋ　ㄑㄧˊ
末,ㄇㄛˋ
万,(一)ㄇㄛˋ
抹煞,ㄇㄛˇ　ㄕㄚ
抹拭,ㄇㄛˇ　ㄕˋ
抹殺,ㄇㄛˇ　ㄕㄚ
抹黑,ㄇㄛˇ　ㄏㄟ
抹去,ㄇㄛˇ　ㄑㄩˋ
抹臉,ㄇㄛˇ　ㄌㄧㄢˇ
抹滅,ㄇㄛˇ　ㄇㄧㄝˋ
抹布,ㄇㄛˇ　ㄅㄨˋ
抹片,ㄇㄛˇ　ㄆㄧㄢˋ
饃,ㄇㄛˊ
抹,(一)ㄇㄛˇ
謨,ㄇㄛˊ
膜拜,ㄇㄛˊ　ㄅㄞˋ
糢,ㄇㄛˊ
膜,ㄇㄛˊ
摹寫,ㄇㄛˊ　ㄒㄧㄝˇ
摹本,ㄇㄛˊ　ㄅㄣˇ
摹仿,ㄇㄛˊ　ㄈㄤˇ
摹,ㄇㄛˊ
模樣,ㄇㄛˊ　ㄧㄤˋ
模子,ㄇㄛˊ　˙ㄗ
模式,ㄇㄛˊ　ㄕˋ
模型,ㄇㄛˊ　ㄒㄧㄥˊ
模糊,ㄇㄛˊ　ㄏㄨˊ
模具,ㄇㄛˊ　ㄐㄩˋ
模擬,ㄇㄛˊ　ㄋㄧˇ
模仿,ㄇㄛˊ　ㄈㄤˇ
模範,ㄇㄛˊ　ㄈㄢˋ
模,ㄇㄛˊ
模板,ㄇㄛˊ　ㄅㄢˇ
魔王,ㄇㄛˊ　ㄨㄤˊ
魔術,ㄇㄛˊ　ㄕㄨˋ
魔手,ㄇㄛˊ　ㄕㄡˇ
魔爪,ㄇㄛˊ　ㄓㄠˇ　（語音）ㄇㄛˊ　ㄓㄨㄚˇ
魔掌,ㄇㄛˊ　ㄓㄤˇ
魔鬼,ㄇㄛˊ　ㄍㄨㄟˇ
魔力,ㄇㄛˊ　ㄌㄧˋ
魔電,ㄇㄛˊ　ㄉㄧㄢˋ
魔頭,ㄇㄛˊ　ㄊㄡˊ
魔法,ㄇㄛˊ　ㄈㄚˇ
魔,ㄇㄛˊ
蘑,ㄇㄛˊ
蘑菇,ㄇㄛˊ　ㄍㄨ　（變）ㄇㄛˊ　˙ㄍㄨ
磨損,ㄇㄛˊ　ㄙㄨㄣˇ
磨牙,ㄇㄛˊ　ㄧㄚˊ
磨蹭,ㄇㄛˊ　ㄘㄥˋ
磨擦,ㄇㄛˊ　ㄘㄚ
磨成,ㄇㄛˊ　ㄔㄥˊ
磨鍊,ㄇㄛˊ　ㄌㄧㄢˋ
磨光,ㄇㄛˊ　ㄍㄨㄤ
磨練,ㄇㄛˊ　ㄌㄧㄢˋ
磨難,ㄇㄛˊ　ㄋㄢˋ
磨墨,ㄇㄛˊ　ㄇㄛˋ
磨滅,ㄇㄛˊ　ㄇㄧㄝˋ
磨平,ㄇㄛˊ　ㄆㄧㄥˊ
磨,(一)ㄇㄛˊ
摩娑,ㄇㄛˊ　ㄙㄨㄛ
摩擦,ㄇㄛˊ　ㄘㄚ
摩登,ㄇㄛˊ　ㄉㄥ
麼,(一)ㄇㄛˊ
摩,ㄇㄛˊ
無,(二)ㄇㄛˊ
摸魚,ㄇㄛ　ㄩˊ
摸彩,ㄇㄛ　ㄘㄞˇ
摸索,ㄇㄛ　ㄙㄨㄛˇ
摸清,ㄇㄛ　ㄑㄧㄥ
摸骨,ㄇㄛ　ㄍㄨˇ
摸黑,ㄇㄛ　ㄏㄟ
摸透,ㄇㄛ　ㄊㄡˋ
摸,ㄇㄛ
嘛,(二)（語音）˙ㄇㄚ
螞,(二)ㄇㄚˋ
螞蚱,ㄇㄚˋ　ㄓㄚˋ　（變）ㄇㄚˋ　˙ㄓㄚ
嗎,(一)˙ㄇㄚ
罵街,ㄇㄚˋ　ㄐㄧㄝ
罵人,ㄇㄚˋ　ㄖㄣˊ
罵,ㄇㄚˋ
螞蟻,ㄇㄚˇ　ㄧˇ
螞,(一)ㄇㄚˇ
螞蝗,ㄇㄚˇ　ㄏㄨㄤˊ
碼子,ㄇㄚˇ　˙ㄗ
碼頭,ㄇㄚˇ　˙ㄊㄡ
碼,ㄇㄚˇ
瑪瑙,ㄇㄚˇ　ㄋㄠˇ
瑪,ㄇㄚˇ
嗎,(二)ㄇㄚˇ
嗎啡,ㄇㄚˇ　ㄈㄟ
馬鞍,ㄇㄚˇ　ㄢ
馬尾,ㄇㄚˇ　ㄨㄟˇ
馬槽,ㄇㄚˇ　ㄘㄠˊ
馬子,ㄇㄚˇ　˙ㄗ
馬術,ㄇㄚˇ　ㄕㄨˋ
馬上,ㄇㄚˇ　ㄕㄤˋ
馬靴,ㄇㄚˇ　ㄒㄩㄝ
馬車,ㄇㄚˇ　ㄔㄜ
馬戲,ㄇㄚˇ　ㄒㄧˋ
馬球,ㄇㄚˇ　ㄑㄧㄡˊ
馬廄,ㄇㄚˇ　ㄐㄧㄡˋ
馬腳,ㄇㄚˇ　ㄐㄧㄠˇ
馬虎,ㄇㄚˇ　ㄏㄨ
馬克,ㄇㄚˇ　ㄎㄜˋ
馬褂,ㄇㄚˇ　ㄍㄨㄚˋ
馬路,ㄇㄚˇ　ㄌㄨˋ
馬力,ㄇㄚˇ　ㄌㄧˋ
馬桶,ㄇㄚˇ　ㄊㄨㄥˇ
馬蹄,ㄇㄚˇ　ㄊㄧˊ
馬達,ㄇㄚˇ　ㄉㄚˊ
馬蜂,ㄇㄚˇ　ㄈㄥ
馬匹,ㄇㄚˇ　ㄆㄧ
馬步,ㄇㄚˇ　ㄅㄨˋ
馬表,ㄇㄚˇ　ㄅㄧㄠˇ
馬,ㄇㄚˇ
蟆,ㄇㄚˊ
嘛,(一)（讀音）ㄇㄚˊ
麼,(二)ㄇㄚˊ
痲,ㄇㄚˊ
麻油,ㄇㄚˊ　ㄧㄡˊ
麻藥,ㄇㄚˊ　ㄧㄠˋ
麻醉,ㄇㄚˊ　ㄗㄨㄟˋ
麻子,ㄇㄚˊ　˙ㄗ
麻繩,ㄇㄚˊ　ㄕㄥˊ
麻糬,ㄇㄚˊ　ㄕㄨˇ
